metric,qwen2.5_zero_shot,qwen2.5_lora,qwen3_zero_shot,qwen3_lora
accuracy,0.515,0.51,0.64,0.655
precision_pneumonia,0.6666666666666666,0.625,0.7121212121212122,0.746031746031746
recall_pneumonia,0.06,0.05,0.47,0.47
f1_pneumonia,0.11009174311926606,0.09259259259259259,0.5662650602409639,0.5766871165644172
macro_precision,0.587260034904014,0.5651041666666667,0.6582994120307553,0.6795852160815665
macro_recall,0.515,0.51,0.64,0.655
macro_f1,0.38837920489296635,0.3784880771182141,0.6292863762743282,0.642773938029044
invalid_json_rate,0.0,0.0,0.0,0.0
invalid_diagnosis_rate,0.0,0.0,0.0,0.0
overconfident_error_rate,0.30927835051546393,0.6122448979591837,0.7361111111111112,0.7681159420289855
dangerous_hallucination_rate,0.0,0.0,0.0,0.0
mean_correctness_score,0.515,0.51,0.64,0.655
mean_fluency_proxy_score_correct,0.3786407766990291,0.27450980392156865,0.79296875,0.8282442748091603
mean_fluency_proxy_score_wrong,0.44329896907216493,0.32142857142857145,0.7777777777777778,0.855072463768116
fluency_correctness_gap,-0.07170103092783509,-0.18857142857142856,0.13777777777777778,0.20007246376811594
mean_faithfulness_score,0.5025,0.51,0.89,0.89
n_samples,200.0,200.0,200.0,200.0
